"state.of.res","custid","sex","is.employed","income","marital.stat","health.ins","housing.type","recent.move","num.vehicles","age","is.employed.fix1","Median.Income","income.norm","gp","income.lt.30K","age.range","Income"
"California",1241524,"M",TRUE,50000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,2,56,"employed",39832,1.2552721430006,0.375367826782167,FALSE,"(25,65]",91000
"California",78476,"M",TRUE,76000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,60,"employed",39832,1.90801365736092,0.140902055427432,FALSE,"(25,65]",150000
"California",218283,"F",NA,20000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,37,"missing",39832,0.502108857200241,0.722357812803239,TRUE,"(25,65]",19000
"California",569414,"F",TRUE,50600,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,57,"employed",39832,1.27033540871661,0.738656315486878,FALSE,"(25,65]",52000
"California",65004,"F",TRUE,150000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,49,"employed",39832,3.76581642900181,0.797440058318898,FALSE,"(25,65]",NA
"California",1175925,"M",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,59,"missing",39832,0,0.0843284474685788,TRUE,"(25,65]",78000
"California",819436,"F",NA,56800,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,1,81,"missing",39832,1.42598915444868,0.301192527636886,FALSE,"(65,Inf]",120300
"California",1225838,"M",TRUE,75000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,62,"employed",39832,1.8829082145009,0.707371695199981,FALSE,"(25,65]",NA
"California",383455,"M",TRUE,124000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,44,"employed",39832,3.11307491464149,0.915865677641705,FALSE,"(25,65]",162000
"California",752338,"M",TRUE,285000,"Divorced/Separated",FALSE,"Rented",FALSE,2,34,"employed",39832,7.15505121510343,0.897711215773597,FALSE,"(25,65]",18200
"California",756667,"F",TRUE,6300,"Married",TRUE,"Rented",TRUE,2,45,"employed",39832,0.158164290018076,0.244300628546625,TRUE,"(25,65]",37200
"California",442608,"M",TRUE,34000,"Never Married",TRUE,"Homeowner with mortgage/loan",TRUE,4,23,"employed",39832,0.85358505724041,0.956384393386543,FALSE,"[0,25]",76000
"California",80274,"M",NA,37300,"Married",TRUE,"Homeowner free and clear",FALSE,5,68,"missing",39832,0.93643301867845,0.409844817826524,FALSE,"(65,Inf]",30000
"California",778092,"M",TRUE,60000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,38,"employed",39832,1.50632657160072,0.130744249094278,FALSE,"(25,65]",NA
"California",51723,"F",NA,15700,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,78,"missing",39832,0.394155452902189,0.358784524258226,TRUE,"(65,Inf]",NA
"California",196613,"F",TRUE,77800,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,45,"employed",39832,1.95320345450894,0.0508885125163943,FALSE,"(25,65]",70000
"California",576799,"F",TRUE,76600,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,47,"employed",39832,1.92307692307692,0.589919919380918,FALSE,"(25,65]",33600
"California",27214,"M",NA,18800,"Married",TRUE,"Homeowner free and clear",FALSE,2,68,"missing",39832,0.471982325768227,0.978187751490623,TRUE,"(65,Inf]",29800
"California",581657,"F",NA,7500,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,83,"missing",39832,0.18829082145009,0.458002031780779,TRUE,"(65,Inf]",21600
"California",419751,"M",TRUE,95300,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,57,"employed",39832,2.39254870455915,0.963649059878662,FALSE,"(25,65]",NA
"California",26355,"M",TRUE,80000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,36,"employed",39832,2.00843542880096,0.249470073962584,FALSE,"(25,65]",39600
"California",210241,"F",TRUE,10000,"Never Married",FALSE,"Rented",FALSE,1,29,"employed",39832,0.251054428600121,0.36808334919624,TRUE,"(25,65]",NA
"California",90863,"M",TRUE,285020,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,37,"employed",39832,7.15555332396063,0.544029082171619,FALSE,"(25,65]",285020
"California",955457,"M",TRUE,32000,"Married",TRUE,"Homeowner free and clear",FALSE,4,43,"employed",39832,0.803374171520386,0.361864427104592,FALSE,"(25,65]",NA
"California",1391586,"M",NA,22000,"Married",TRUE,"Homeowner free and clear",FALSE,4,64,"missing",39832,0.552319742920265,0.418967089615762,TRUE,"(25,65]",299000
"California",497970,"F",TRUE,48000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,30,"employed",39832,1.20506125728058,0.522834691219032,FALSE,"(25,65]",266200
"California",1392648,"M",TRUE,70000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,60,"employed",39832,1.75738100020084,0.64491348224692,FALSE,"(25,65]",NA
"California",510555,"M",TRUE,30000,"Divorced/Separated",FALSE,"Rented",FALSE,2,47,"employed",39832,0.753163285800362,0.621642772341147,FALSE,"(25,65]",NA
"California",354269,"M",NA,22000,"Never Married",FALSE,"Rented",TRUE,1,29,"missing",39832,0.552319742920265,0.718142411205918,TRUE,"(25,65]",38800
"California",1087193,"F",TRUE,99000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,0,75,"employed",39832,2.48543884314119,0.538321911823004,FALSE,"(65,Inf]",28800
"California",1222630,"F",TRUE,78000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,52,"employed",39832,1.95822454308094,0.53021628386341,FALSE,"(25,65]",NA
"California",223773,"F",NA,10200,"Widowed",TRUE,"Rented",TRUE,1,74,"missing",39832,0.256075517172123,0.141949917888269,TRUE,"(65,Inf]",130000
"California",517696,"F",NA,6300,"Married",TRUE,"Homeowner free and clear",FALSE,2,56,"missing",39832,0.158164290018076,0.981940978439525,TRUE,"(25,65]",15500
"California",8322,"F",TRUE,180000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,40,"employed",39832,4.51897971480217,0.781613930361345,FALSE,"(25,65]",NA
"California",1269661,"F",NA,13600,"Married",FALSE,"Homeowner free and clear",FALSE,2,59,"missing",39832,0.341434022896164,0.301209136145189,TRUE,"(25,65]",25700
"California",505318,"F",TRUE,26400,"Divorced/Separated",TRUE,"Rented",FALSE,1,36,"employed",39832,0.662783691504318,0.819395831087604,TRUE,"(25,65]",39000
"California",862412,"M",TRUE,120000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,75,"employed",39832,3.01265314320145,0.825774352066219,FALSE,"(65,Inf]",150600
"California",1169067,"M",TRUE,165100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,71,"employed",39832,4.14490861618799,0.851260213414207,FALSE,"(65,Inf]",182500
"California",1231777,"F",TRUE,91010,"Never Married",TRUE,"Rented",FALSE,1,52,"employed",39832,2.2848463546897,0.401789418887347,FALSE,"(25,65]",6200
"California",988580,"M",NA,17100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,0,77,"missing",39832,0.429303072906206,0.597125405678526,TRUE,"(65,Inf]",NA
"California",31710,"F",TRUE,397000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,2,55,"employed",39832,9.96686081542478,0.305551808094606,FALSE,"(25,65]",60000
"California",878882,"M",TRUE,76000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,0,33,"employed",39832,1.90801365736092,0.989806043915451,FALSE,"(25,65]",26000
"California",994628,"F",NA,0,"Married",FALSE,"Rented",FALSE,2,29,"missing",39832,0,0.0275704660452902,TRUE,"(25,65]",221000
"California",871562,"M",TRUE,37000,"Never Married",FALSE,"Rented",TRUE,2,19,"employed",39832,0.928901385820446,0.323110084747896,FALSE,"[0,25]",25000
"California",575660,"F",TRUE,28000,"Never Married",FALSE,"Rented",TRUE,1,24,"employed",39832,0.702952400080337,0.586089631542563,TRUE,"[0,25]",50000
"California",1412971,"M",NA,43400,"Married",TRUE,"Homeowner free and clear",FALSE,1,88,"missing",39832,1.08957622012452,0.553328840993345,FALSE,"(65,Inf]",NA
"California",116171,"F",NA,51500,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,81,"missing",39832,1.29293030729062,0.00570856756530702,FALSE,"(65,Inf]",NA
"California",53186,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,61,"missing",39832,0,0.506684698862955,TRUE,"(25,65]",NA
"California",829722,"F",NA,29000,"Widowed",TRUE,"Homeowner free and clear",FALSE,0,78,"missing",39832,0.728057842940349,0.238271063892171,TRUE,"(65,Inf]",110000
"California",1285807,"F",TRUE,24000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,31,"employed",39832,0.602530628640289,0.512762831058353,TRUE,"(25,65]",60000
"California",459429,"F",TRUE,60000,"Married",TRUE,"Rented",FALSE,3,38,"employed",39832,1.50632657160072,0.310125760501251,FALSE,"(25,65]",29500
"California",146457,"M",TRUE,49000,"Never Married",TRUE,"Rented",FALSE,2,35,"employed",39832,1.23016670014059,0.819738687947392,FALSE,"(25,65]",NA
"California",158530,"M",NA,1400,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,83,"missing",39832,0.0351476200040169,0.964086818741634,TRUE,"(65,Inf]",21400
"California",549068,"M",TRUE,75100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,42,"employed",39832,1.8854187587869,0.433768983697519,FALSE,"(25,65]",1e+05
"California",99068,"F",TRUE,38800,"Never Married",TRUE,"Rented",FALSE,3,34,"employed",39832,0.974091182968468,0.766837342642248,FALSE,"(25,65]",1e+05
"California",1132236,"F",TRUE,40000,"Never Married",TRUE,"Rented",FALSE,1,55,"employed",39832,1.00421771440048,0.549880238017067,FALSE,"(25,65]",18000
"California",814516,"F",TRUE,36000,"Divorced/Separated",TRUE,"Rented",TRUE,1,27,"employed",39832,0.903795942960434,0.935929665109143,FALSE,"(25,65]",112000
"California",52382,"M",TRUE,45050,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,39,"employed",39832,1.13100020084354,0.386026976397261,FALSE,"(25,65]",90000
"California",396675,"F",TRUE,60000,"Never Married",TRUE,"Rented",TRUE,1,45,"employed",39832,1.50632657160072,0.514797286363319,FALSE,"(25,65]",16800
"California",857511,"F",TRUE,30,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,54,"employed",39832,0.000753163285800362,0.889517271658406,TRUE,"(25,65]",140000
"California",433755,"F",NA,60000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,3,85,"missing",39832,1.50632657160072,0.836626019328833,FALSE,"(65,Inf]",NA
"California",999444,"M",TRUE,24000,"Married",TRUE,"Rented",FALSE,2,24,"employed",39832,0.602530628640289,0.495107950875536,TRUE,"[0,25]",10000
"California",907824,"F",FALSE,43000,"Never Married",FALSE,"Rented",FALSE,1,55,"not employed",39832,1.07953404298052,0.0264610897284001,FALSE,"(25,65]",9600
"California",1055360,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,58,"missing",39832,0,0.472657507983968,TRUE,"(25,65]",NA
"California",908928,"M",TRUE,32000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,4,56,"employed",39832,0.803374171520386,0.853042878909037,FALSE,"(25,65]",NA
"California",1042303,"M",TRUE,71300,"Married",TRUE,"Rented",FALSE,2,28,"employed",39832,1.79001807591886,0.358112100511789,FALSE,"(25,65]",49000
"California",56040,"F",NA,0,"Married",TRUE,"Rented",TRUE,2,39,"missing",39832,0,0.349825690034777,TRUE,"(25,65]",NA
"California",932574,"M",NA,12500,"Never Married",TRUE,"Rented",FALSE,0,66,"missing",39832,0.313818035750151,0.963035713648424,TRUE,"(65,Inf]",90000
"California",352275,"F",FALSE,36000,"Married",TRUE,"Occupied with no rent",FALSE,3,58,"not employed",39832,0.903795942960434,0.574060792569071,FALSE,"(25,65]",NA
"California",620116,"F",TRUE,28000,"Married",TRUE,"Rented",TRUE,2,26,"employed",39832,0.702952400080337,0.23444006126374,TRUE,"(25,65]",78000
"California",1159665,"M",TRUE,37000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,46,"employed",39832,0.928901385820446,0.277308323420584,FALSE,"(25,65]",402000
"California",169519,"F",TRUE,30600,"Divorced/Separated",TRUE,"Rented",FALSE,1,62,"employed",39832,0.768226551516369,0.354032017523423,FALSE,"(25,65]",9000
"California",38827,"F",NA,9700,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,72,"missing",39832,0.243522795742117,0.311487071448937,TRUE,"(65,Inf]",NA
"California",1210604,"F",NA,31500,"Widowed",TRUE,"Rented",FALSE,0,89,"missing",39832,0.79082145009038,0.612590564182028,FALSE,"(65,Inf]",NA
"California",1211323,"M",NA,46200,"Widowed",TRUE,"Rented",TRUE,1,74,"missing",39832,1.15987146013256,0.610787127166986,FALSE,"(65,Inf]",NA
"California",628305,"M",NA,24400,"Married",TRUE,NA,NA,NA,93,"missing",39832,0.612572805784294,0.524707956938073,TRUE,"(65,Inf]",60000
"California",1239370,"F",TRUE,45000,"Married",TRUE,"Homeowner with mortgage/loan",TRUE,2,50,"employed",39832,1.12974492870054,0.520918625639752,FALSE,"(25,65]",75000
"California",1371785,"F",TRUE,44900,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE,4,47,"employed",39832,1.12723438441454,0.259826339548454,FALSE,"(25,65]",NA
"California",1409249,"M",NA,36200,"Married",TRUE,"Homeowner free and clear",FALSE,5,73,"missing",39832,0.908817031532436,0.407577290432528,FALSE,"(65,Inf]",NA
"California",431729,"M",NA,26700,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,75,"missing",39832,0.670315324362322,0.242051174864173,TRUE,"(65,Inf]",NA
"California",851013,"M",TRUE,85200,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,63,"employed",39832,2.13898373167303,0.355856651207432,FALSE,"(25,65]",NA
"California",816773,"M",TRUE,200000,"Married",TRUE,"Rented",TRUE,2,50,"employed",39832,5.02108857200241,0.774605855345726,FALSE,"(25,65]",19200
"California",996953,"F",FALSE,0,"Married",FALSE,"Rented",TRUE,3,35,"not employed",39832,0,0.431511427974328,TRUE,"(25,65]",NA
"California",885269,"M",FALSE,32500,"Married",FALSE,"Homeowner with mortgage/loan",FALSE,3,50,"not employed",39832,0.815926892950392,0.398000883171335,FALSE,"(25,65]",45000
"California",716521,"M",TRUE,16100,"Married",FALSE,"Rented",FALSE,2,62,"employed",39832,0.404197630046194,0.85930152842775,TRUE,"(25,65]",30600
"California",460642,"F",TRUE,99670,"Divorced/Separated",TRUE,"Rented",FALSE,1,44,"employed",39832,2.5022594898574,0.933074203087017,FALSE,"(25,65]",77000
"California",348319,"F",NA,0,"Married",TRUE,"Rented",FALSE,3,26,"missing",39832,0,0.0188914467580616,TRUE,"(25,65]",NA
"California",333982,"F",NA,19200,"Married",TRUE,"Homeowner free and clear",FALSE,2,72,"missing",39832,0.482024502912231,0.530251551419497,TRUE,"(65,Inf]",NA
"California",394790,"M",NA,69040,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,75,"missing",39832,1.73327977505523,0.831835246179253,FALSE,"(65,Inf]",0
"California",1133846,"F",TRUE,75000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,47,"employed",39832,1.8829082145009,0.577939256560057,FALSE,"(25,65]",2000
"California",535114,"F",NA,0,"Married",FALSE,"Homeowner with mortgage/loan",TRUE,1,50,"missing",39832,0,0.470489636296406,TRUE,"(25,65]",60000
"California",199788,"M",FALSE,43500,"Never Married",FALSE,"Homeowner free and clear",TRUE,2,37,"not employed",39832,1.09208676441052,0.636425565928221,FALSE,"(25,65]",54000
"California",1022619,"M",NA,62800,"Divorced/Separated",TRUE,"Rented",FALSE,1,72,"missing",39832,1.57662181160876,0.413124240469187,FALSE,"(65,Inf]",NA
"California",516129,"F",TRUE,48000,"Never Married",FALSE,"Rented",FALSE,2,45,"employed",39832,1.20506125728058,0.287783603183925,FALSE,"(25,65]",2000
"California",1393715,"F",FALSE,25500,"Never Married",TRUE,"Rented",FALSE,1,48,"not employed",39832,0.640188792930307,0.819398186402395,TRUE,"(25,65]",35000
"California",265299,"M",NA,65500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,69,"missing",39832,1.64440650733079,0.0677385369781405,FALSE,"(65,Inf]",NA
"California",863391,"M",TRUE,17000,"Married",TRUE,"Rented",FALSE,2,20,"employed",39832,0.426792528620205,0.650566605618224,TRUE,"[0,25]",34200
"California",835830,"F",TRUE,51000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,41,"employed",39832,1.28037758586061,0.6962331966497,FALSE,"(25,65]",NA
"California",98086,"M",NA,52100,"Married",TRUE,"Homeowner with mortgage/loan",TRUE,2,69,"missing",39832,1.30799357300663,0.308851721463725,FALSE,"(65,Inf]",40000
"California",487124,"M",TRUE,2000,"Married",FALSE,"Rented",FALSE,2,54,"employed",39832,0.0502108857200241,0.998247954528779,TRUE,"(25,65]",32000
"California",1361709,"M",NA,10800,"Married",TRUE,"Rented",FALSE,2,70,"missing",39832,0.27113878288813,0.241333513753489,TRUE,"(65,Inf]",NA
"California",1201949,"M",NA,25300,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,4,83,"missing",39832,0.635167704358305,0.464297051541507,TRUE,"(65,Inf]",40000
"Colorado",904673,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,52,"missing",59209,0,0.425514472648501,TRUE,"(25,65]",69000
"Colorado",540956,"F",TRUE,13000,"Never Married",FALSE,"Rented",FALSE,0,49,"employed",59209,0.219561215355774,0.862369037000462,TRUE,"(25,65]",27000
"Colorado",1390506,"M",TRUE,76000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,33,"employed",59209,1.28358864361837,0.884069669991732,FALSE,"(25,65]",NA
"Colorado",648220,"M",TRUE,20000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,51,"employed",59209,0.337786485162729,0.49776848917827,TRUE,"(25,65]",NA
"Colorado",1165177,"M",TRUE,40000,"Divorced/Separated",TRUE,"Rented",FALSE,2,38,"employed",59209,0.675572970325457,0.579315878450871,FALSE,"(25,65]",NA
"Colorado",841342,"M",TRUE,85050,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,62,"employed",59209,1.4364370281545,0.350506747839972,FALSE,"(25,65]",50000
"Colorado",53759,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,34,"missing",59209,0,0.00325942365452647,TRUE,"(25,65]",NA
"Colorado",1274592,"M",TRUE,224000,"Widowed",TRUE,"Homeowner free and clear",FALSE,2,83,"employed",59209,3.78320863382256,0.761109014740214,FALSE,"(65,Inf]",77800
"Colorado",757404,"M",TRUE,22000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,35,"employed",59209,0.371565133679002,0.125345644541085,TRUE,"(25,65]",24800
