"","AGE","MARSTAT","CLASS","SEX","HHINCOME","RACE","RELIGION","HAPPY"
"268","Under30","MARRIED","Lower salariat","Women",8,"white",0,25
"269","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",9,"white",0,23
"270","30to64","MARRIED","Routine nonmanual","Men",10,"white",0,24
"271","30to64","MARRIED","Lower salariat","Men",10,"white",0,24
"272","65plus","MARRIED","Manual labour","Men",8,"white",0,25
"273","30to64","MARRIED","Lower salariat","Men",9,"white",0,25
"274","30to64","SINGLE","Routine nonmanual","Men",8,"white",0,22
"275","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"276","30to64","MARRIED","Manual labour","Men",9,"white",0,25
"277","65plus","SINGLE","Routine nonmanual","Women",4,"white",0,24
"278","65plus","MARRIED","Self employed","Women",8,"white",0,24
"279","65plus","WIDOWED","Manual labour","Men",3,"white",0,24
"280","30to64","MARRIED","Lower salariat","Women",8,"white",0,23
"281","65plus","MARRIED","Upper salariat","Men",6,"white",0,26
"282","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,29
"283","30to64","MARRIED","Lower salariat","Women",10,"white",0,28
"284","30to64","MARRIED","Lower salariat","Men",8,"white",0,28
"285","Under30","MARRIED","Routine nonmanual","Men",8,"Nonwhite",1,25
"286","30to64","MARRIED","Upper salariat","Women",10,"white",0,21
"287","65plus","WIDOWED","Upper salariat","Women",5,"white",0,23
"288","30to64","MARRIED","Lower salariat","Men",9,"white",0,23
"289","30to64","MARRIED","Upper salariat","Women",8,"white",1,25
"290","30to64","MARRIED","Lower salariat","Men",8,"white",0,22
"291","65plus","MARRIED","Self employed","Men",8,"white",0,23
"292","Under30","MARRIED","Upper salariat","Men",7,"white",0,27
"293","65plus","MARRIED","Manual labour","Men",6,"white",0,28
"294","65plus","MARRIED","Routine nonmanual","Men",7,"white",0,25
"295","Under30","SINGLE","Manual labour","Men",4,"white",0,26
"296","65plus","MARRIED","Manual labour","Men",4,"white",0,25
"297","30to64","SEPARATED OR DIVORCED","Manual labour","Women",7,"white",0,26
"298","Under30","MARRIED","Upper salariat","Women",6,"white",1,18
"299","30to64","SEPARATED OR DIVORCED","Manual labour","Men",8,"white",0,28
"300","30to64","SINGLE","Routine nonmanual","Women",6,"white",0,23
"301","Under30","MARRIED","Manual labour","Men",8,"white",0,23
"302","Under30","SINGLE","Lower salariat","Women",6,"white",1,19
"303","65plus","WIDOWED","Manual labour","Men",4,"white",0,24
"304","65plus","SEPARATED OR DIVORCED","Routine nonmanual","Women",3,"white",0,26
"305","65plus","WIDOWED","Self employed","Men",5,"white",0,18
"306","65plus","MARRIED","Lower salariat","Women",7,"white",0,20
"307","65plus","SINGLE","Lower salariat","Women",6,"white",0,21
"308","Under30","MARRIED","Self employed","Men",6,"white",0,25
"309","30to64","MARRIED","Lower salariat","Women",6,"white",0,24
"310","30to64","SINGLE","Upper salariat","Men",7,"white",0,23
"311","65plus","MARRIED","Manual labour","Men",4,"white",0,25
"312","30to64","MARRIED","Manual labour","Men",7,"white",0,24
"313","30to64","MARRIED","Manual labour","Women",7,"white",0,21
"314","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",2,"white",0,21
"315","30to64","MARRIED","Manual labour","Women",7,"white",0,27
"316","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",6,"white",0,18
"317","30to64","MARRIED","Lower salariat","Women",5,"white",0,26
"318","30to64","WIDOWED","Manual labour","Women",7,"white",0,22
"319","30to64","MARRIED","Upper salariat","Men",10,"white",0,22
"320","65plus","SINGLE","Lower salariat","Men",4,"white",0,23
"321","Under30","MARRIED","Manual labour","Men",6,"white",0,21
"322","65plus","SEPARATED OR DIVORCED","Upper salariat","Men",8,"white",0,22
"323","Under30","SINGLE","Routine nonmanual","Women",5,"white",0,20
"324","30to64","MARRIED","Manual labour","Men",8,"white",0,24
"325","30to64","SINGLE","Lower salariat","Women",6,"white",0,24
"326","30to64","MARRIED","Manual labour","Men",7,"white",0,27
"327","30to64","MARRIED","Manual labour","Men",6,"white",0,26
"328","30to64","MARRIED","Manual labour","Women",6,"white",0,28
"329","30to64","WIDOWED","Lower salariat","Men",8,"white",0,25
"330","Under30","SINGLE","Lower salariat","Men",7,"white",0,27
"331","30to64","MARRIED","Manual labour","Men",9,"white",0,29
"332","65plus","MARRIED","Lower salariat","Men",10,"white",0,24
"333","Under30","SINGLE","Manual labour","Men",8,"white",0,21
"334","Under30","SINGLE","Manual labour","Men",6,"white",1,22
"335","30to64","MARRIED","Manual labour","Men",6,"white",0,25
"336","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",7,"white",0,26
"337","Under30","SINGLE","Lower salariat","Men",6,"white",0,26
"338","Under30","SINGLE","Upper salariat","Men",10,"white",0,22
"339","30to64","MARRIED","Manual labour","Men",9,"white",0,26
"340","30to64","MARRIED","Lower salariat","Men",10,"white",0,25
"341","Under30","SINGLE","Manual labour","Men",6,"white",0,17
"342","30to64","MARRIED","Manual labour","Men",7,"white",0,21
"343","30to64","MARRIED","Manual labour","Men",9,"white",0,24
"344","30to64","MARRIED","Manual labour","Women",8,"white",0,13
"345","Under30","SINGLE","Routine nonmanual","Women",6,"white",0,15
"346","Under30","MARRIED","Upper salariat","Women",10,"white",0,29
"347","Under30","MARRIED","Manual labour","Men",9,"white",1,21
"348","30to64","MARRIED","Upper salariat","Men",9,"white",0,25
"349","Under30","MARRIED","Manual labour","Men",8,"white",0,22
"350","Under30","SINGLE","Lower salariat","Women",6,"white",1,23
"351","30to64","SINGLE","Upper salariat","Women",7,"white",1,24
"352","65plus","WIDOWED","Manual labour","Women",6,"white",0,24
"353","30to64","MARRIED","Manual labour","Women",5,"white",0,26
"354","30to64","MARRIED","Manual labour","Men",5,"white",1,26
"355","30to64","MARRIED","Upper salariat","Men",9,"white",0,24
"356","30to64","MARRIED","Upper salariat","Women",8,"white",0,25
"357","65plus","WIDOWED","Upper salariat","Women",7,"white",0,22
"358","65plus","MARRIED","Routine nonmanual","Women",7,"white",0,24
"359","30to64","MARRIED","Lower salariat","Men",6,"white",1,24
"360","Under30","SINGLE","Manual labour","Men",8,"white",0,25
"361","30to64","MARRIED","Manual labour","Men",7,"white",0,25
"362","65plus","WIDOWED","Routine nonmanual","Women",3,"white",0,23
"363","Under30","SINGLE","Lower salariat","Women",6,"white",0,24
"364","Under30","MARRIED","Routine nonmanual","Women",8,"white",0,23
"365","30to64","WIDOWED","Upper salariat","Women",3,"white",0,29
"366","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",6,"white",0,23
"367","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,24
"368","Under30","SINGLE","Manual labour","Men",3,"white",0,23
"369","30to64","SINGLE","Lower salariat","Men",8,"white",0,23
"370","30to64","MARRIED","Self employed","Men",7,"white",0,22
"371","Under30","SINGLE","Upper salariat","Women",6,"white",1,18
"372","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,30
"373","30to64","MARRIED","Upper salariat","Women",10,"white",1,25
"374","30to64","MARRIED","Lower salariat","Women",7,"white",0,22
"375","Under30","MARRIED","Self employed","Men",10,"white",0,25
"376","Under30","SINGLE","Routine nonmanual","Women",3,"white",1,21
"377","30to64","MARRIED","Lower salariat","Women",9,"white",0,22
"378","Under30","MARRIED","Manual labour","Men",3,"white",1,23
"379","Under30","SINGLE","Routine nonmanual","Women",5,"white",1,19
"380","30to64","MARRIED","Manual labour","Men",8,"white",0,23
"381","30to64","MARRIED","Routine nonmanual","Men",8,"white",0,15
"382","30to64","MARRIED","Manual labour","Men",10,"white",0,24
"383","30to64","SINGLE","Manual labour","Men",10,"white",0,26
"384","Under30","SINGLE","Routine nonmanual","Women",6,"white",0,27
"385","65plus","MARRIED","Lower salariat","Men",8,"white",0,26
"386","65plus","MARRIED","Routine nonmanual","Men",5,"white",0,28
"387","65plus","MARRIED","Lower salariat","Men",7,"white",0,23
"388","65plus","MARRIED","Manual labour","Men",4,"white",0,25
"389","65plus","WIDOWED","Manual labour","Women",6,"white",0,21
"390","65plus","WIDOWED","Manual labour","Women",3,"white",0,29
"391","30to64","MARRIED","Lower salariat","Men",9,"white",0,26
"392","30to64","MARRIED","Lower salariat","Men",10,"white",0,28
"393","Under30","SINGLE","Lower salariat","Men",8,"white",1,19
"394","Under30","SINGLE","Manual labour","Men",7,"white",0,25
"395","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,25
"396","30to64","MARRIED","Routine nonmanual","Men",7,"white",1,27
"397","Under30","SINGLE","Lower salariat","Men",8,"white",0,24
"398","30to64","MARRIED","Self employed","Men",9,"white",0,25
"399","Under30","SINGLE","Manual labour","Men",10,"white",0,23
"400","30to64","MARRIED","Lower salariat","Women",5,"white",0,25
"401","65plus","MARRIED","Upper salariat","Women",7,"white",0,29
"402","Under30","SINGLE","Manual labour","Women",3,"white",0,20
"403","30to64","MARRIED","Lower salariat","Men",5,"white",1,26
"404","Under30","SINGLE","Self employed","Women",6,"white",0,29
"405","65plus","WIDOWED","Manual labour","Men",4,"white",0,22
"406","30to64","MARRIED","Manual labour","Women",9,"white",0,21
"407","30to64","MARRIED","Manual labour","Men",9,"white",0,27
"408","30to64","MARRIED","Upper salariat","Men",8,"white",0,17
"409","65plus","MARRIED","Manual labour","Women",4,"white",0,26
"410","Under30","MARRIED","Routine nonmanual","Women",9,"white",1,24
"411","30to64","SINGLE","Manual labour","Men",7,"white",0,16
"412","30to64","SINGLE","Manual labour","Men",6,"white",1,23
"413","30to64","SEPARATED OR DIVORCED","Manual labour","Women",7,"white",0,28
"414","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,26
"415","30to64","SINGLE","Manual labour","Women",3,"white",0,28
"416","Under30","SINGLE","Manual labour","Men",7,"white",1,28
"417","Under30","SINGLE","Lower salariat","Women",8,"Nonwhite",1,24
"418","Under30","MARRIED","Lower salariat","Women",7,"white",1,27
"419","30to64","SINGLE","Routine nonmanual","Women",7,"white",1,23
"420","30to64","MARRIED","Manual labour","Men",8,"white",0,24
"421","30to64","SEPARATED OR DIVORCED","Manual labour","Men",7,"white",1,19
"422","Under30","SINGLE","Manual labour","Men",9,"white",1,18
"423","65plus","MARRIED","Lower salariat","Men",6,"white",0,27
"424","30to64","MARRIED","Lower salariat","Men",8,"white",0,19
"425","Under30","SINGLE","Manual labour","Men",7,"white",1,23
"426","30to64","SINGLE","Routine nonmanual","Women",6,"white",0,23
"427","65plus","WIDOWED","Self employed","Men",4,"white",0,19
